,utterance,utterance_de,utterance_de_deepl,speaker,emotion,sentiment,dialogue_id,utterance_id,season,episode,starttime,endtime
3139,"Well, y'know, a little of this, a little of that. Got myself a date tomorrow night.","Weißt du, ein bisschen davon, ein bisschen davon. Habe mich morgen Abend verabredet.","Na ja, du weißt schon, ein bisschen dies, ein bisschen das. Ich habe morgen Abend ein Date.",Rachel,neutral,neutral,331,7,5,2,"00:08:11,157","00:08:12,824"
3140,"See, didn't I tell you?! You're getting over Ross already!","Sehen Sie, habe ich es Ihnen nicht gesagt?! Du kommst schon über Ross hinweg!","Siehst du, habe ich es dir nicht gesagt?! Sie sind immer über Ross bereits!",Monica,joy,positive,331,8,5,2,"00:08:13,075","00:08:17,078"
3141,Get out!,Aussteigen!,Geh raus!,Gunther,joy,positive,331,9,5,2,"00:08:18,664","00:08:19,706"
3142,I just didn’t see the fast song coming.,Ich habe das schnelle Lied einfach nicht kommen sehen.,Ich habe nur das schnelle Lied nicht kommen sehen.,Ross,surprise,negative,332,0,8,1,"00:21:43,719","00:21:46,137"
3143,Shh.,Schh.,Psst.,Joey,neutral,neutral,332,1,8,1,"0:21:46,305","0:21:46,389"
3144,Shh.,Schh.,Scht.,Joey,neutral,neutral,332,2,8,1,"0:21:46,389","0:21:48,183"
3145,"Don’t try to talk, we’ll get you up to your room, we’ll soak your feet, you’ll be okay.","Versuchen Sie nicht zu reden, wir bringen Sie auf Ihr Zimmer, wir werden Ihre Füße einweichen, es wird Ihnen gut gehen.","Versuchen Sie nicht zu sprechen, wir bringen Sie auf Ihr Zimmer, wir werden Ihre Füße einweichen, Sie werden okay sein.",Joey,neutral,neutral,332,3,8,1,"0:21:48,183","0:21:50,915"
3146,"Oh, thank you.",Oh danke.,"Oh, danke schön.",Ross,neutral,neutral,332,4,8,1,"0:21:50,976","0:21:51,898"
3147,That is so sweet!,Das ist so süß!,Das ist so süß!,Mona,joy,positive,332,5,8,1,"0:21:51,898","0:21:53,282"
3148,Yeah.,Ja.,Das ist so lieb. Ja.,Joey,neutral,neutral,332,6,8,1,"00:21:53,395","00:21:54,812"
3149,"No, I mean it. There are so few genuinely nice guys out there.","Nein, ich meine es. Es gibt so wenige wirklich nette Leute da draußen.","Nein, ich meine es ernst. Es gibt so wenige wirklich nette Kerle da draußen.",Mona,anger,negative,332,7,8,1,"00:21:53,395","00:21:57,732"
3150,"Tell me about it, I feel like I’m holding down the fort all by myself.","Erzählen Sie mir davon, ich habe das Gefühl, die Stellung allein zu halten.","Wem sagst du das. Ich habe das Gefühl, dass ich die Stellung ganz allein halte.",Joey,neutral,neutral,332,8,8,1,"00:21:57,899","00:22:02,111"
3151,It’s Joey right?,"Es ist Joey, oder?",Es ist Joey richtig?,Mona,neutral,neutral,332,9,8,1,"0:22:02,654","0:22:03,996"
3152,Yeah.,Ja.,"Ja, genau.",Joey,neutral,neutral,332,10,8,1,"0:22:03,996","0:22:05,301"
3153,Wait a minute!,Warte eine Minute!,Warte doch mal!,Ross,surprise,negative,332,11,8,1,"0:22:05,407","0:22:06,089"
3154,No!,Nein!,Nein!,Ross,anger,negative,332,12,8,1,"0:22:06,089","0:22:07,132"
3155,I’m the nice one!,Ich bin der Nette!,Ich bin der nette ein!,Ross,surprise,negative,332,13,8,1,"0:22:07,132","0:22:09,013"
3156,I’m the one who danced with the kids all night!,"Ich bin derjenige, der die ganze Nacht mit den Kindern getanzt hat!","Ich bin derjenige, der mit den Kindern die ganze Nacht getanzt!",Ross,surprise,negative,332,14,8,1,"00:22:09,077","00:22:12,955"
3157,How…How small are your feet?,Wie… Wie klein sind deine Füße?,Wie... wie klein sind deine Füße?,Ross,neutral,neutral,332,15,8,1,"00:22:13,582","00:22:15,499"
3158,"Uhh, do you mind sitting there. I’m-I’m saving this for my friend Ross.","Ähh, macht es dir etwas aus, dort zu sitzen. Ich hebe das für meinen Freund Ross auf.","Uhh, macht es dir was aus, dort zu sitzen. Ich bin-ich bin Speichern dieser für meinen Freund Ross.",Joey,neutral,neutral,333,0,4,11,"00:10:15,281","00:10:18,950"
3159,You mean Dr. Geller?,Sie meinen Dr. Geller?,"Sie meinen, Dr. Geller?",Tour Guide,neutral,neutral,333,1,4,11,"00:10:19,201","00:10:20,577"
3160,Doctor? Wow! I didn’t know he had a nickname.,"Arzt? Beeindruckend! Ich wusste nicht, dass er einen Spitznamen hat.","Doktor? Wow! Ich wusste nicht, dass er einen Spitznamen hat.",Joey,surprise,positive,333,2,4,11,"00:10:20,870","00:10:23,955"
3161,"Oh, he won’t sit here.","Oh, er wird nicht hier sitzen.","Oh, hier wird er nicht sitzen.",Tour Guide,neutral,neutral,333,3,4,11,"00:10:25,374","00:10:27,167"
3162,"Only the people in the white coats sit over there,  and only the people in the blue blazers sit here.","Dort drüben sitzen nur die Leute in den weißen Kitteln, und hier sitzen nur die Leute in den blauen Blazern.","Nur die Leute in den weißen Kitteln sitzen dort drüben, und nur die Leute in den blauen Blazern sitzen hier.",Tour Guide,neutral,neutral,333,4,4,11,"00:10:27,376","00:10:34,758"
3163,"Yeah, it must’ve fallen out a few blocks back. I just figured we hit a dog.","Ja, es muss ein paar Blocks weiter herausgefallen sein. Ich dachte nur, wir schlagen einen Hund.","Ja, er muss ein paar Blocks weiter hinten rausgefallen sein. Ich dachte nur, wir hätten einen Hund angefahren.",Joey,joy,positive,334,0,4,7,"00:09:57,513","00:10:02,017"
3164,Okay.,Okay.,"Ich dachte, wir hätten einen Hund überfahren. Okay.",Chandler,neutral,neutral,334,1,4,7,"00:10:03,185","00:10:04,185"
3165,"Listen uh, could you put Kathy on, I wanna apologize.","Hören Sie, könnten Sie Kathy anziehen, ich möchte mich entschuldigen.","Hören Sie, äh, könnten Sie mir Kathy geben, ich möchte mich entschuldigen.",Joey,sadness,negative,334,2,4,7,"00:10:04,353","00:10:07,689"
3166,Oh yeah man.  Joey.,Oh ja Mann. Joey.,"Oh ja, Mann.  Joey!",Chandler,neutral,neutral,334,3,4,7,"00:10:08,441","00:10:09,816"
3167,Hey.,Hallo.,Hi.,Kathy,neutral,neutral,334,4,4,7,"00:10:10,526","00:10:11,526"
3168,"Oh no it’s fine, don’t worry about it.","Oh nein, es ist in Ordnung, mach dir keine Sorgen.","Oh nein, ist schon gut, mach dir keine Sorgen.",Kathy,neutral,neutral,334,5,4,7,"00:10:11,736","00:10:14,613"
3169,"Yeah-no, stop apologizing, it’s okay.","Ja-nein, hör auf dich zu entschuldigen, es ist okay.","Ja-nein, hör auf dich zu entschuldigen, es ist okay.",Kathy,neutral,neutral,334,6,4,7,"00:10:14,822","00:10:17,741"
3170,I’ll talk to you tomorrow.,Ich werde morgen mit dir reden.,Wir sprechen uns morgen.,Kathy,neutral,neutral,334,7,4,7,"00:10:17,992","00:10:20,243"
3171,"I should uh, probably go.","Ich sollte, äh, wahrscheinlich gehen.","Ich sollte, äh, wahrscheinlich gehen.",Kathy,neutral,neutral,334,8,4,7,"00:10:23,039","00:10:25,081"
3172,Yeah. Yes! Yeah.,Ja. Ja! Ja.,Ich sollte gehen. Ja! Ja. Ja.,Chandler,neutral,neutral,334,9,4,7,"00:10:25,291","00:10:27,161"
3173,I forgot my purse.,Ich habe meine Handtasche vergessen.,Ich habe meine Handtasche vergessen.,Kathy,neutral,neutral,334,10,4,7,"00:10:39,889","00:10:41,890"
3174,Oh.,Oh.,Oh.,Chandler,neutral,neutral,334,11,4,7,"00:10:42,058","00:10:43,475"
3175,"No, I really did forget my purse.","Nein, ich habe wirklich meine Handtasche vergessen.","Nein, ich habe wirklich meine Handtasche vergessen.",Kathy,neutral,neutral,334,12,4,7,"00:10:49,899","00:10:52,567"
3176,"A new place for a new Ross. I'm gonna have you and all the guys from work over once it's y'know, furnished.","Ein neuer Ort für einen neuen Ross. Ich werde dich und all die Jungs von der Arbeit fertig machen, sobald es fertig ist.","Eine neue Wohnung für einen neuen Ross. Ich werde Sie und alle Jungs von der Arbeit über haben sobald es ist, wissen Sie, eingerichtet.",Ross,neutral,neutral,335,0,5,14,"00:21:29,538","00:21:35,584"
3177,I must say it's nice to see you back on your feet.,"Ich muss sagen, es ist schön, dich wieder auf den Beinen zu sehen.","Ich muss sagen, es ist schön zu sehen, dass du wieder auf den Beinen bist.",Dr. Ledbetter,joy,positive,335,1,5,14,"00:21:35,836","00:21:37,962"
3178,Well I am that. And that whole rage thing is definitely behind me.,"Nun, das bin ich. Und diese ganze Wut-Sache liegt definitiv hinter mir.","Nun, das bin ich. Und diese ganze Wut-Sache liegt definitiv hinter mir.",Ross,neutral,neutral,335,2,5,14,"00:21:38,213","00:21:42,174"
3179,I wonder if its time for you to rejoin our team at the museum?,"Ich frage mich, ob es für Sie an der Zeit ist, unserem Team im Museum wieder beizutreten?","Ich frage mich, ob es für Sie an der Zeit ist, sich unserem Team im Museum wieder anzuschließen?",Dr. Ledbetter,neutral,neutral,335,3,5,14,"00:21:42,426","00:21:45,553"
3180,"....and 12, 22, 18, four...  What?","....und 12, 22, 18, vier... Was?","....und 12, 22, 18, vier...  Was? Ich habe ""Boobies"" buchstabiert.",Ross,surprise,positive,336,0,3,10,"00:11:55,840","00:12:07,000"
3181,I spelled out boobies.,Ich habe Tölpel buchstabiert.,"Ich buchstabierte ""Boobies"".",Chandler,joy,positive,336,1,3,10,"00:12:06,267","00:12:09,102"
3182,"Ross, but me down for another box of the mint treasures, okay. Where, where are the mint treasures?","Ross, aber ich brauche noch eine Schachtel mit Münzschätzen, okay. Wo, wo sind die Münzschätze?","Ross, ich brauche noch eine Kiste mit Münzschätzen, ok? Wo, wo sind die Münzschätze?",Monica,neutral,neutral,336,2,3,10,"00:12:13,649","00:12:20,071"
3183,"Ah, we’re out. I sold them all.","Ah, wir sind raus. Ich habe sie alle verkauft.","Ah, die sind alle weg. Ich habe sie alle verkauft.",Ross,neutral,neutral,336,3,3,10,"00:12:20,948","00:12:23,032"
3184,What?,Was?,(Ross) Was?,Monica,surprise,positive,336,4,3,10,"00:12:23,534","00:12:25,076"
3185,No.,Nein.,Nein.,Monica,sadness,negative,336,6,3,10,"00:12:29,915","00:12:32,959"
3186,"No, just, just, just a couple more boxes.","Nein, nur, nur, nur noch ein paar Kisten.","Nein, nur, nur, nur noch ein paar Kisten.",Monica,anger,negative,336,7,3,10,"00:12:29,915","00:12:35,211"
3187,"It-it-it’s no big deal, all right, I’m-I’m cool.","Es-es-es ist keine große Sache, alles klar, ich bin-ich bin cool.","Es-es-es ist keine große Sache, alles klar, ich bin-ich bin cool.",Monica,fear,negative,336,8,3,10,"00:12:29,915","00:12:39,591"
3188,You gotta help me out with a couple more boxes!,Du musst mir mit ein paar weiteren Kisten helfen!,"Sie müssen mir helfen, mit ein paar mehr Boxen!",Monica,sadness,negative,336,9,3,10,"00:12:33,502","00:12:44,137"
3189,"Mon, look at yourself. You have cookie on your neck.","Mo, sieh dich selbst an. Du hast Kekse am Hals.","Mon, sieh dich an. Du hast einen Keks am Hals.",Ross,disgust,negative,336,10,3,10,"00:12:45,222","00:12:47,724"
3190,Oh God!,Oh Gott!,Oh Gott!,Monica,sadness,negative,336,11,3,10,"00:12:48,184","00:12:49,225"
3191,"So, how many have you sold so far?","Also, wie viele haben Sie bisher verkauft?","Also, wie viele hast du bis jetzt verkauft?",Chandler,neutral,neutral,336,12,3,10,"00:12:51,353","00:12:55,398"
3192,Check this out. Five hundred and seventeen boxes!,Überprüfen Sie dies. Fünfhundertsiebzehn Kisten!,Sieh dir das an. Fünfhundert und siebzehn Boxen!,Ross,surprise,positive,336,13,3,10,"00:12:51,353","00:12:59,819"
3193,"Oh my God, how did you do that?","Oh mein Gott, wie hast du das gemacht?","Oh mein Gott, wie hast du das gemacht?",Chandler,surprise,positive,336,14,3,10,"00:12:55,566","00:12:59,819"
3194,"Okay, the other night I was leaving the museum just as ‘Laser Floyd’ was letting out of the planetarium, without even trying I sold 50 boxes!","Okay, neulich habe ich das Museum verlassen, als ‚Laser Floyd‘ das Planetarium verließ, ohne es zu versuchen, ich habe 50 Kisten verkauft!","Okay, neulich verließ ich das Museum, als ""Laser Floyd"" aus dem Planetarium kam, und ohne es zu versuchen, habe ich 50 Schachteln verkauft!",Ross,joy,positive,336,15,3,10,"00:12:59,987","00:13:09,788"
3195,"That’s when it occurred to me, the key to my success, ‘the munchies.’ So I ah, started hitting the NYU dorms around midnight.","Da fiel mir ein, der Schlüssel zu meinem Erfolg, „die Knabbereien“. Also fing ich an, gegen Mitternacht in die Schlafsäle der NYU zu gehen.","Da fiel mir der Schlüssel zu meinem Erfolg ein: ""Der Heißhunger"". Also fing ich an, gegen Mitternacht in den Studentenwohnheimen der NYU aufzuschlagen.",Ross,joy,positive,336,16,3,10,"00:13:09,955","00:13:20,006"
3196,I am selling cookies by the case.,Ich verkaufe Cookies fallweise.,Ich verkaufe Kekse kistenweise.,Ross,joy,positive,336,17,3,10,"00:13:21,967","00:13:25,136"
3197,They call me: 'Cookie Dude!',Sie nennen mich: 'Cookie Dude!',"Sie nennen mich: ""Cookie Dude!",Ross,joy,positive,336,18,3,10,"00:13:25,304","00:13:28,973"
3198,"Okay, stop what you’re doing, I need envelope stuffers, I need stamp lickers.....","Okay, hör auf, was du tust, ich brauche Kuvertfüller, ich brauche Briefmarkenlecker.....","Okay, hört auf mit dem was ihr tut, ich brauche Umschlagfüller, ich brauche Briefmarkenlecker.....",Rachel,neutral,neutral,336,19,3,10,"00:13:30,434","00:13:34,687"
3199,"Well hey, who did these resumes for ya?","Hey, wer hat diese Lebensläufe für dich gemacht?","Nun hey, wer hat diese Lebensläufe für dich gemacht?",Ross,surprise,positive,336,20,3,10,"00:13:34,855","00:13:37,065"
3200,Me! On my computer.,Mich! Auf meinem Computer.,Ich! An meinem Computer.,Chandler,joy,positive,336,21,3,10,"00:13:37,233","00:13:38,650"
3201,Hi.,Hallo.,Hi.,Ross,neutral,neutral,337,0,8,2,"00:02:56,176","00:02:57,384"
3202,Hey.  Soaps? Shampoos? Are you really taking all this stuff?,Hallo. Seifen? Shampoos? Nimmst du all das Zeug wirklich?,Hey. Seifen? Shampoos? Nimmst du wirklich das ganze Zeug?,Chandler,surprise,negative,337,1,8,2,"00:02:58,553","00:03:02,139"
3203,Why not? It’s built into the price of the room.,Warum nicht? Es ist im Preis des Zimmers integriert.,Nein. Warum nicht? Das ist im Preis des Zimmers inbegriffen.,Ross,neutral,neutral,337,2,8,2,"00:03:02,348","00:03:07,853"
3204,Yeah but you don’t need——What is this?,"Ja, aber du brauchst nicht – Was ist das?","Ja, aber du brauchst nicht... Was ist das?",Chandler,surprise,positive,337,3,8,2,"00:03:02,348","00:03:11,106"
3205,Thread!,Faden!,Ein Faden!,Ross,joy,positive,337,4,8,2,"00:03:08,104","00:03:11,106"
3206,Score! Where are the disposable cameras?,Ergebnis! Wo sind die Einwegkameras?,Treffer! Wo sind die Einwegkameras?,Chandler,joy,positive,337,5,8,2,"00:03:12,442","00:03:18,488"
3207,What disposable cameras?,Welche Einwegkameras?,Welche Einwegkameras?,Ross,sadness,negative,337,6,8,2,"00:03:15,236","00:03:18,488"
3208,The cameras? Remember last night I told you to take them?,"Die Kameras? Erinnerst du dich, dass ich dir letzte Nacht gesagt habe, sie zu nehmen","Die Kameras? Erinnerst du dich, dass ich dir gestern Abend sagte, du sollst sie mitnehmen?",Chandler,surprise,negative,337,7,8,2,"00:03:18,656","00:03:20,699"
3209,No you didn’t.,Nein hast du nicht.,"Nein, hast du nicht.",Ross,neutral,neutral,337,8,8,2,"00:03:20,909","00:03:22,000"
3210,"Yes! Remember? Right before we cut the cake, I went up to you and I said","Ja! Merken? Kurz bevor wir den Kuchen angeschnitten haben, bin ich zu dir gegangen und habe gesagt","Doch! Weißt du noch? Kurz bevor wir die Torte anschnitten, ging ich zu dir und sagte.",Chandler,surprise,negative,337,9,8,2,"00:03:20,909","00:03:25,037"
3211,"Oh-oh yeah, you-you came up to me and asked if I could do you a favor, and my Uncle Murray came up to you and handed you a check.","Oh-oh ja, du-du bist zu mir gekommen und hast mich gefragt, ob ich dir einen Gefallen tun könnte, und mein Onkel Murray kam zu dir und reichte dir einen Scheck.","Oh-oh ja, du-du kamst zu mir und fragtest, ob ich dir einen Gefallen tun könnte, und mein Onkel Murray kam zu dir und gab dir einen Scheck.",Ross,neutral,neutral,337,10,8,2,"00:03:25,246","00:03:31,001"
3212,"And then you said, ""Why do they call it a check?","Und dann sagtest du: ""Warum nennen sie es einen Scheck?","Und dann hast du gesagt: ""Warum nennt man das einen Scheck?",Ross,neutral,neutral,337,11,8,2,"0:03:31,252","0:03:33,274"
3213,"Why not a Yugoslavian?""","Warum kein Jugoslawe?""","Warum nicht einen jugoslawischen?""",Ross,neutral,neutral,337,12,8,2,"0:03:33,274","0:03:35,007"
3214,"Yeah, then you did that.","Ja, dann hast du das gemacht.","Ja, dann hast du das gemacht.",Ross,neutral,neutral,337,13,8,2,"0:03:38,927","0:03:40,512"
3215,So you don’t have the cameras?!,Sie haben also keine Kameras?!,Also hast du die Kameras nicht?!,Chandler,surprise,negative,337,14,8,2,"0:03:40,512","0:03:43,464"
3216,No. Sorry man.,"Nein. Entschuldigung, Mann.","Nein. Tut mir leid, Mann.",Ross,sadness,negative,337,15,8,2,"00:03:43,598","00:03:45,307"
3217,So? What? What? They’re gone! Monica’s gonna freak!,So? Was? Was? Sie sind gegangen! Monica wird ausflippen!,Und? Was? - Was? Was? Was? Sie sind weg! Monica's gonna Freak!,Chandler,surprise,negative,337,16,8,2,"00:03:43,598","00:03:48,810"
3218,"Well, I’m sure they’re still somewhere here in the hotel. I’ll-I’ll help you look for them.","Nun, ich bin sicher, sie sind noch irgendwo hier im Hotel. Ich werde – ich helfe Ihnen, sie zu suchen.","Nun, ich bin sicher, sie sind immer noch irgendwo hier im Hotel. Ich werde Ihnen helfen, nach ihnen zu suchen.",Ross,neutral,neutral,337,17,8,2,"00:03:45,475","00:03:50,437"
3219,Great.,Groß.,Gut.,Chandler,anger,negative,337,18,8,2,"00:03:50,647","00:03:51,647"
3220,In-in three minutes.,In drei Minuten rein.,Ich bin in 3 Minuten da.,Ross,neutral,neutral,337,19,8,2,"00:03:50,647","00:03:52,981"
3221,"Uhh, Rachel, my parents","Äh, Rachel, meine Eltern","Äh, Rachel, meine Eltern sind in der Stadt.",Joshua,neutral,neutral,338,0,4,18,"00:15:40,189","00:15:42,607"
3222,Ohh! It’s so nice to meet you.  Hello.,"Oh! Es ist so schön, Sie kennenzulernen. Hallo.","Ohh! Es ist so schön, dich kennenzulernen.  Hallo.",Rachel,joy,positive,338,1,4,18,"00:15:42,775","00:15:46,694"
3223,"Hello. Well, Joshua, that $500 was for groceries.","Hallo. Nun, Joshua, die 500 Dollar waren für Lebensmittel.","Hallo. Also, Joshua, die 500 Dollar waren für Lebensmittel.",Mrs. Burgin,neutral,neutral,338,2,4,18,"00:15:47,321","00:15:52,450"
3224,What?,Was?,Was ist?,Rachel,surprise,negative,338,3,4,18,"00:15:53,994","00:15:54,000"
3225,"This-this, no, oh no, no-no-no, this is not—that’s-that’s not what it is.","Dies-das, nein, oh nein, nein-nein-nein, das ist nicht-das-das ist es nicht.","Das... nein, oh nein, nein, nein, nein, nein, das ist nicht... das ist nicht das, was es ist.",Rachel,joy,positive,338,4,4,18,"00:15:53,994","00:15:58,873"
3226,"See, see, okay, I work in fashion, see and-and, this is a real dress actually.","Sehen Sie, sehen Sie, okay, ich arbeite in der Mode, sehen und-und, das ist tatsächlich ein richtiges Kleid.","Sehen Sie, ich arbeite in der Modebranche, und das ist ein echtes Kleid.",Rachel,neutral,neutral,338,5,4,18,"00:15:59,041","00:16:04,921"
3227,"It’s-it’s, they’re-they’re wearing it in Milan, so part of my job is too wear the clothes, and then I see how people respond, and then I report back to my superiors at","Es ist, es ist, sie tragen es in Mailand, also ist es ein Teil meines Jobs, die Kleidung zu tragen, und dann sehe ich, wie die Leute reagieren, und dann melde ich mich bei meinen Vorgesetzten bei","Sie tragen es in Mailand, also ist es Teil meines Jobs, die Kleider zu tragen, und dann sehe ich, wie die Leute reagieren, und dann berichte ich meinen Vorgesetzten in",Rachel,neutral,neutral,338,6,4,18,"00:16:05,089","00:16:17,767"
3228,Maybe in L.A?,Vielleicht in L.A.?,Vielleicht in L.A.?,Mrs. Burgin,neutral,neutral,338,7,4,18,"0:16:27,528","0:16:28,790"
3229,Yes!,Ja!,Ja!,Rachel,joy,positive,338,8,4,18,"0:16:28,790","0:16:29,620"
3230,There you go.,Da gehst du.,Da hast du's.,Joshua,neutral,neutral,338,9,4,18,"0:16:29,738","0:16:30,531"
3231,"So, have you kids eaten yet?","Also, habt ihr Kinder schon gegessen?","Also, habt ihr Kinder schon gegessen?",Mr. Burgin,neutral,neutral,338,10,4,18,"0:16:30,531","0:16:32,876"
3232,"Well, we were going to do that after—I mean umm, next.","Nun, das wollten wir nachher tun – ich meine ähm, als nächstes.","Nun, das wollten wir nachher machen, ich meine, als nächstes.",Rachel,neutral,neutral,338,11,4,18,"00:16:32,992","00:16:35,535"
3233,"Well, we’re starving, why don’t we all go get something to eat?","Nun, wir hungern, warum gehen wir nicht alle etwas zu essen?","Wir sind am Verhungern, warum gehen wir nicht alle etwas essen?",Mr. Burgin,neutral,neutral,338,12,4,18,"00:16:37,121","00:16:41,791"
3234,"Oh, yeah, well… Yeah, no use wasting this baby, just lyin’ around the house.","Oh, ja, nun... Ja, es hat keinen Sinn, dieses Baby zu verschwenden, nur im Haus herumzuliegen.","Oh, ja, nun... Ja, es hat keinen Sinn, das Baby zu verschwenden, nur um im Haus herumzuliegen.",Rachel,neutral,neutral,338,13,4,18,"00:16:41,959","00:16:47,839"
3235,So… We go eat.,Also... Wir gehen essen.,Also... Wir gehen essen.,Mr. Burgin,neutral,neutral,338,14,4,18,"00:16:48,757","00:16:51,384"
3236,Yes.,Ja.,Ja.,Rachel,neutral,neutral,338,15,4,18,"00:16:50,000","00:16:51,384"
3237,"You’ll wear that. We’ll be eating, and of course, you’ll be wearing that.","Das wirst du tragen. Wir werden essen, und das trägst du natürlich.","Du wirst das tragen. Wir werden essen, und natürlich wirst du das tragen.",Mr. Burgin,neutral,neutral,338,16,4,18,"00:16:51,552","00:16:56,764"
3238,Well I guess I should’ve thought about my wife and kids before I talked back to chef Geller!,"Nun, ich schätze, ich hätte an meine Frau und meine Kinder denken sollen, bevor ich mit Chefkoch Geller gesprochen habe!","Nun, ich schätze, ich hätte an meine Frau und Kinder denken sollen, bevor ich mit Chefkoch Geller rede!",Joey,neutral,neutral,339,0,4,10,"00:20:46,870","00:20:52,041"
3239,Thanks.,Vielen Dank.,Dank.,Monica,neutral,neutral,339,1,4,10,"00:20:53,418","00:20:54,460"
3240,Enough!,Genug!,Genug!,Monica,anger,negative,339,3,4,10,"00:21:02,010","00:21:03,469"
3241,Lean lean lean,Schlank schlank schlank,"Mager, mager, mager",Joey,joy,positive,339,4,4,10,"00:21:04,846","00:21:07,390"
3242,Let me see that.,Lass mich das sehen.,"Lassen Sie mich sehen, dass.",Chandler,neutral,neutral,340,0,2,14,"00:07:21,762","00:07:23,431"
3243,This one right here.,Dieser hier.,Das hier ist es.,Joey,neutral,neutral,341,0,1,11,"00:07:21,762","00:07:23,431"
3244,Triskaidekaphobia.,Triskaidekaphobie.,Triskaidekaphobie.,Chandler,neutral,neutral,342,0,8,20,"0:07:25,933","0:07:26,745"
3245,The fear of,Die Angst vor,Die Angst vor,Ross,neutral,neutral,342,1,8,20,"0:07:26,745","0:07:28,814"
3246,"No! No, fear of the number 13.","Nein! Nein, Angst vor der Nummer 13.","Nein! Nein, die Angst vor der Zahl 13.",Joey,neutral,neutral,342,2,8,20,"00:07:28,936","00:07:33,316"
3247,"It’s possible, they have really sharp edges.","Es ist möglich, sie haben wirklich scharfe Kanten.","Es ist möglich, sie haben wirklich scharfe Kanten.",Ross,neutral,neutral,342,3,8,20,"00:07:33,566","00:07:36,944"
3248,"All right Chandler, you’re up.","In Ordnung, Chandler, Sie sind oben.","Alles klar, Chandler, du bist dran.",Joey,neutral,neutral,342,4,8,20,"00:07:38,321","00:07:39,780"
3249,"Wait a minute, I-I believe I’m entitled to use my Angel Pass for a free turn?","Moment, ich glaube, ich bin berechtigt, meinen Angel Pass kostenlos zu nutzen?","Warten Sie eine Minute, ich-ich glaube, ich bin berechtigt, meine Engel Pass für eine freie Runde zu verwenden?",Ross,joy,positive,342,5,8,20,"00:07:40,031","00:07:43,618"
3250,This game makes no sense!,Dieses Spiel macht keinen Sinn!,Dieses Spiel macht keinen Sinn!,Chandler,anger,negative,342,6,8,20,"0:07:43,784","0:07:45,244"
3251,Y’know what? You’re just upset because you’re losing.,"Weißt du was? Du bist nur verärgert, weil du verlierst.","Y'know what? Du bist nur aufgeregt, weil du verlierst.",Ross,joy,positive,342,7,8,20,"0:07:45,244","0:07:48,206"
3252,"Oh come on Ross, I think we’re all losers here.","Ach komm schon, Ross, ich glaube, wir sind hier alle Verlierer.","Oh, komm schon Ross, ich denke, wir sind alle Verlierer hier.",Chandler,neutral,neutral,342,8,8,20,"00:07:48,289","00:07:50,875"
3253,"All right. Chandler, you can either spin the wheel or pick a Google card.","Alles klar. Chandler, Sie können entweder das Rad drehen oder eine Google-Karte auswählen.","Na gut. Chandler, du kannst entweder das Rad drehen oder eine Google-Karte ziehen.",Joey,neutral,neutral,342,9,8,20,"00:07:52,919","00:07:56,672"
3254,Let me think. Let me think—Oh! I don’t care.,Lass mich nachdenken. Lass mich denken – Oh! ist mir egal.,"Lass mich nachdenken. Lassen Sie mich denken, oh! Es ist mir egal.",Chandler,anger,negative,342,10,8,20,"00:07:56,839","00:08:00,468"
3255,You-you must choose Mr. Bing.,Sie-Sie müssen Mr. Bing wählen.,Du... du musst Mr. Bing wählen.,Joey,neutral,neutral,342,11,8,20,"00:08:02,428","00:08:04,096"
3256,"Either, it makes no difference.","Egal, es macht keinen Unterschied.","Entweder, es macht keinen Unterschied.",Chandler,neutral,neutral,342,12,8,20,"0:08:04,263","0:08:05,765"
3257,"Choose, you jackass!","Wähle, du Esel!","Wähle, du Trottel!",Joey,anger,negative,342,13,8,20,"0:08:05,765","0:08:08,702"
3258,I’ll take a card.,Ich nehme eine Karte.,Ich ziehe eine Karte.,Chandler,neutral,neutral,342,14,8,20,"00:08:09,644","00:08:13,272"
3259,"Okay, you picked the Gimmie card! You get all of Ross’s points!","Okay, du hast die Gimmie-Karte ausgewählt! Sie erhalten alle Punkte von Ross!","Okay, Sie nahm die Gimmie-Karte! Sie erhalten alle von Ross' Punkte!",Joey,joy,positive,342,15,8,20,"00:08:09,644","00:08:16,567"
3260,What?!,Was?!,Was?!,Ross,surprise,negative,342,16,8,20,"00:08:13,439","00:08:16,567"
3261,This game is kinda fun.,Dieses Spiel macht irgendwie Spaß.,Dieses Spiel ist irgendwie Spaß.,Chandler,joy,positive,342,17,8,20,"00:08:17,318","00:08:18,986"
3262,You don’t think it’s a little crazy that you get all my points just ‘cause you,"Du denkst nicht, dass es ein bisschen verrückt ist, dass du alle meine Punkte bekommst, nur wegen dir","Sie glaube nicht, es ist ein wenig verrückt, dass Sie alle meine Punkte zu bekommen, nur weil Sie",Ross,neutral,neutral,342,18,8,20,"00:08:20,154","00:08:23,282"
3263,I don’t think the contestants are supposed to speak to each other.,"Ich glaube nicht, dass die Kandidaten miteinander sprechen sollen.","Ich glaube nicht, dass die Teilnehmer sollen, um miteinander zu sprechen.",Chandler,neutral,neutral,342,19,8,20,"00:08:23,491","00:08:26,869"
3264,"Hello?  Oh, hi Ross!  See? Other people call me!","Hallo? Oh, hallo Ross! Sehen? Andere rufen mich an!","Hallo?  Oh, hi Ross!  Sehen Sie? Andere Leute rufen mich an!",Monica,surprise,negative,343,0,6,6,"00:09:32,822","00:09:35,657"
